"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,689,0,"M",3000,"F"
4,1962,689,0,"M",3000,"F"
4,1963,689,0,"M",3000,"F"
4,1964,689,0,"M",3000,"F"
4,1965,689,0,"M",3000,"F"
4,1966,689,0,"M",4000,"F"
4,1967,689,0,"M",4000,"F"
4,1968,689,0,"M",4000,"F"
4,1969,689,0,"M",4000,"F"
4,1970,689,0,"M",4000,"F"
4,1971,689,0,"M",4000,"F"
4,1972,689,0,"M",4000,"F"
4,1973,689,0,"M",3500,"F"
4,1974,689,0,"M",4000,"F"
4,1975,689,0,"M",4500,"F"
4,1976,689,0,"M",4000,"F"
4,1977,689,0,"M",5000,"F"
4,1978,689,0,"M",5200,"F"
4,1979,689,0,"M",5400,"F"
4,1980,689,0,"M",5400,"F"
4,1981,689,0,"M",5400,"F"
4,1982,689,0,"M",5400,"F"
4,1983,689,0,"M",5600,"F"
4,1984,689,0,"M",6000,"F"
4,1985,689,3500,"F",6100,"F"
4,1986,689,3500,"F",6100,"F"
4,1987,689,3500,"F",6200,"F"
4,1988,689,3500,"F",6300,"F"
4,1989,689,3500,"F",6400,"F"
4,1990,689,3500,"F",6500,"F"
4,1991,689,3500,"F",6600,"F"
4,1992,689,3500,"F",6700,"F"
4,1993,689,3500,"F",6800,"F"
4,1994,689,3573,"E",7000,"F"
4,1995,689,2937,"E",8054,"E"
4,1996,689,3917,"E",7100,"F"
4,1997,689,3600,"F",7200,"F"
4,1998,689,2605,"E",7300,"F"
4,1999,689,3700,"F",7400,"F"
4,2000,689,4807,"E",7500,"F"
4,2001,689,3700,"F",7500,"F"
4,2002,689,3800,"F",7600,"F"
4,2003,689,3800,"F",7600,"F"
4,2004,689,3800,"F",6151,"E"
4,2005,689,3850,"F",7700,"F"
4,2006,689,3004,"E",9305,"E"
4,2007,689,3456,"E",6311,"E"
4,2008,689,3900,"F",7800,"F"
4,2009,689,3001,"E",8681,"E"
4,2010,689,3361,"E",11585,"E"
4,2011,689,3589,"E",13414,"E"
9,1961,689,1300,"F",1500,"F"
9,1962,689,1300,"F",1500,"F"
9,1963,689,1300,"F",1500,"F"
9,1964,689,1500,"F",1700,"F"
9,1965,689,1500,"F",1700,"F"
9,1966,689,1500,"F",1700,"F"
9,1967,689,1700,"F",2000,"F"
9,1968,689,1700,"F",2000,"F"
9,1969,689,1720," ",2500," "
9,1970,689,1520," ",1920," "
9,1971,689,2600," ",1700," "
9,1972,689,3337," ",3100," "
9,1973,689,5000," ",5600," "
9,1974,689,2990," ",2480," "
9,1975,689,3200," ",3500," "
9,1976,689,5040," ",5890," "
9,1977,689,4780," ",5650," "
9,1978,689,4200," ",5000," "
9,1979,689,3930," ",4200," "
9,1980,689,2860," ",2800," "
9,1981,689,1450," ",1630," "
9,1982,689,1295," ",1430," "
9,1983,689,1860," ",1910," "
9,1984,689,2025," ",2110," "
9,1985,689,2640," ",3000," "
9,1986,689,2620," ",2950," "
9,1987,689,2440," ",2700," "
9,1988,689,2435," ",2600," "
9,1989,689,2400,"F",2600,"F"
9,1990,689,2500,"F",2800,"F"
9,1991,689,2600,"F",2900,"F"
9,1992,689,2700,"F",3000,"F"
9,1993,689,2800,"F",3100,"F"
9,1994,689,1866,"E",1988,"E"
9,1995,689,2900,"F",2422,"E"
9,1996,689,2307,"E",2018,"E"
9,1997,689,2574,"E",2405,"E"
9,1998,689,2743,"E",2988,"E"
9,1999,689,3000,"F",3200,"F"
9,2000,689,3039,"E",3100,"F"
9,2001,689,3276,"E",3648,"E"
9,2002,689,3100,"F",3200,"F"
9,2003,689,3418,"E",3789,"E"
9,2004,689,3067,"F",3167,"F"
9,2005,689,3625,"E",4081,"E"
9,2006,689,3100,"F",3200,"F"
9,2007,689,3200,"F",3300,"F"
9,2008,689,2914,"E",2967,"E"
9,2009,689,2735,"E",2767,"E"
9,2010,689,2317,"E",2380,"E"
9,2011,689,2319,"E",2713,"E"
16,1961,689,70800," ",47000," "
16,1962,689,70000," ",48000," "
16,1963,689,73200," ",48700," "
16,1964,689,78500," ",53200," "
16,1965,689,78500," ",51700," "
16,1966,689,77700," ",52800," "
16,1967,689,80500," ",55900," "
16,1968,689,86200," ",59900," "
16,1969,689,87400," ",62000," "
16,1970,689,89000," ",67100," "
16,1971,689,88600," ",64000," "
16,1972,689,82335," ",58987," "
16,1973,689,77662," ",52300," "
16,1974,689,66822," ",44147," "
16,1975,689,78856," ",50192," "
16,1976,689,79232," ",52888," "
16,1977,689,77069," ",45367," "
16,1978,689,82547," ",49664," "
16,1979,689,83467," ",52523," "
16,1980,689,80995," ",49777," "
16,1981,689,73605," ",40414," "
16,1982,689,75643," ",44249," "
16,1983,689,75526," ",46397," "
16,1984,689,75527," ",46018," "
16,1985,689,72061," ",44753," "
16,1986,689,68865," ",44100," "
16,1987,689,66490," ",43000," "
16,1988,689,67393," ",45270," "
16,1989,689,67796," ",47485," "
16,1990,689,69646," ",51520," "
16,1991,689,70183," ",51895," "
16,1992,689,67265," ",50715," "
16,1993,689,67168," ",54365," "
16,1994,689,66800," ",54000," "
16,1995,689,66400," ",52670," "
16,1996,689,66000," ",52550," "
16,1997,689,66400," ",53000," "
16,1998,689,66400," ",53000," "
16,1999,689,174826," ",142000," "
16,2000,689,175231," ",143000," "
16,2001,689,174826," ",141000," "
16,2002,689,169970," ",136000," "
16,2003,689,169937," ",137325," "
16,2004,689,162154," ",138740," "
16,2005,689,154812," ",185635," "
16,2006,689,142466," ",155430," "
16,2007,689,141490," ",153955," "
16,2008,689,94406," ",117765," "
16,2009,689,89268," ",109337," "
16,2010,689,87026," ",109350," "
16,2011,689,104967," ",176134," "
18,1961,689,0,"M",710,"F"
18,1962,689,0,"M",730,"F"
18,1963,689,0,"M",760,"F"
18,1964,689,0,"M",770,"F"
18,1965,689,0,"M",790,"F"
18,1966,689,0,"M",810,"F"
18,1967,689,0,"M",820,"F"
18,1968,689,0,"M",840,"F"
18,1969,689,0,"M",860,"F"
18,1970,689,0,"M",880,"F"
18,1971,689,0,"M",890,"F"
18,1972,689,0,"M",910,"F"
18,1973,689,0,"M",930,"F"
18,1974,689,0,"M",950,"F"
18,1975,689,0,"M",970,"F"
18,1976,689,0,"M",990,"F"
18,1977,689,0,"M",1000,"F"
18,1978,689,0,"M",1050,"F"
18,1979,689,0,"M",1100,"F"
18,1980,689,0,"M",1120,"F"
18,1981,689,0,"M",1150,"F"
18,1982,689,0,"M",1190,"F"
18,1983,689,0,"M",1220,"F"
18,1984,689,0,"M",1250,"F"
18,1985,689,1400,"F",1350,"F"
18,1986,689,1500,"F",1400,"F"
18,1987,689,1500,"F",1450,"F"
18,1988,689,1500,"F",1500,"F"
18,1989,689,1500,"F",1500,"F"
18,1990,689,1550,"F",1600,"F"
18,1991,689,1600,"F",1700,"F"
18,1992,689,1718,"E",1800,"F"
18,1993,689,1728,"E",1900,"F"
18,1994,689,1571,"E",2000,"F"
18,1995,689,1656,"E",2117,"E"
18,1996,689,1755,"E",2668,"E"
18,1997,689,1596,"E",2254,"E"
18,1998,689,1674,"E",2613,"E"
18,1999,689,1953,"E",2777,"E"
18,2000,689,1754,"E",2758,"E"
18,2001,689,1766,"E",2762,"E"
18,2002,689,1688,"E",2399,"E"
18,2003,689,1200,"F",4100,"F"
18,2004,689,1238," ",4454," "
18,2005,689,2281," ",10447," "
18,2006,689,2300,"F",10500,"F"
18,2007,689,2400,"F",10700,"F"
18,2008,689,2242,"E",10781,"E"
18,2009,689,2204,"E",10259,"E"
18,2010,689,2231,"E",10296,"E"
18,2011,689,2398,"E",12169,"E"
27,1961,689,1000,"F",4332," "
27,1962,689,1400,"F",6017," "
27,1963,689,900,"F",4828," "
27,1964,689,1000,"F",5571," "
27,1965,689,1100,"F",5398," "
27,1966,689,1100,"F",6666," "
27,1967,689,1400,"F",7679," "
27,1968,689,1200,"F",7438," "
27,1969,689,900,"F",6361," "
27,1970,689,1000,"F",6096," "
27,1971,689,700,"F",4598," "
27,1972,689,800,"F",5430," "
27,1973,689,700,"F",5092," "
27,1974,689,700,"F",4899," "
27,1975,689,1000,"F",7147," "
27,1976,689,800,"F",5528," "
27,1977,689,500,"F",3628," "
27,1978,689,500,"F",3051," "
27,1979,689,400,"F",2739," "
27,1980,689,400,"F",3578," "
27,1981,689,500,"F",3701," "
27,1982,689,400,"F",3600,"F"
27,1983,689,500,"F",3200,"F"
27,1984,689,500,"F",2800,"F"
27,1985,689,400,"F",2500,"F"
27,1986,689,400,"F",2500,"F"
27,1987,689,300,"F",2500,"F"
27,1988,689,300,"F",3000,"F"
27,1989,689,400,"F",4230," "
27,1990,689,400,"F",3578," "
27,1991,689,300,"F",2579," "
27,1992,689,400,"F",1784," "
27,1993,689,305,"E",1900,"F"
27,1994,689,200,"F",510," "
27,1995,689,267,"E",700,"F"
27,1996,689,365,"E",935,"E"
27,1997,689,301,"E",803,"E"
27,1998,689,238,"E",1048,"E"
27,1999,689,181,"E",820,"E"
27,2000,689,240,"E",800,"F"
27,2001,689,270,"E",700,"F"
27,2002,689,260,"E",675,"E"
27,2003,689,273,"E",460,"E"
27,2004,689,266,"E",641,"E"
27,2005,689,252,"E",598,"E"
27,2006,689,183,"E",394,"E"
27,2007,689,250,"F",900,"F"
27,2008,689,270,"F",950,"F"
27,2009,689,290,"F",1000,"F"
27,2010,689,323,"E",1331,"E"
27,2011,689,312,"E",1346,"E"
28,1961,689,35000,"*",12600," "
28,1962,689,50182," ",24182," "
28,1963,689,46135," ",23268," "
28,1964,689,42897," ",18086," "
28,1965,689,54633," ",20626," "
28,1966,689,55443," ",17273," "
28,1967,689,40874," ",15444," "
28,1968,689,43707," ",15749," "
28,1969,689,44516," ",20016," "
28,1970,689,61918," ",25503," "
28,1971,689,54228," ",21642," "
28,1972,689,48509," ",20445," "
28,1973,689,59894," ",27332," "
28,1974,689,48646," ",22460," "
28,1975,689,54581," ",25498," "
28,1976,689,56576," ",22185," "
28,1977,689,68800,"*",36300," "
28,1978,689,61900,"*",32100," "
28,1979,689,49000,"*",26000," "
28,1980,689,56227," ",34200," "
28,1981,689,60700," ",28400," "
28,1982,689,49800," ",28900," "
28,1983,689,54200," ",33500," "
28,1984,689,56700," ",36800," "
28,1985,689,55800," ",30600," "
28,1986,689,59500," ",32300," "
28,1987,689,51000," ",29200," "
28,1988,689,52600," ",28200," "
28,1989,689,64300," ",31500," "
28,1990,689,69600," ",33200," "
28,1991,689,65200," ",30200," "
28,1992,689,76500," ",44200," "
28,1993,689,78900," ",40500," "
28,1994,689,69600," ",38600," "
28,1995,689,64800," ",31500," "
28,1996,689,59500," ",33300," "
28,1997,689,71600," ",38700," "
28,1998,689,67200," ",39700," "
28,1999,689,63100," ",40300," "
28,2000,689,86600," ",49100," "
28,2001,689,98300," ",56000," "
28,2002,689,108000," ",69100," "
28,2003,689,116600," ",77500," "
28,2004,689,110500," ",74700," "
28,2005,689,128700," ",99400," "
28,2006,689,129900," ",108700," "
28,2007,689,123000," ",107400," "
28,2008,689,129100," ",113600," "
28,2009,689,129500," ",123900," "
28,2010,689,131900," ",133000," "
28,2011,689,131783,"E",124321,"E"
32,1961,689,5000,"F",6000,"F"
32,1962,689,5000,"F",6000,"F"
32,1963,689,5000,"F",6000,"F"
32,1964,689,5800,"F",7000,"F"
32,1965,689,5800,"F",7000,"F"
32,1966,689,5800,"F",7000,"F"
32,1967,689,6600,"F",8000,"F"
32,1968,689,6600,"F",8000,"F"
32,1969,689,6600,"F",8000," "
32,1970,689,7500,"F",9000," "
32,1971,689,8300,"F",10000," "
32,1972,689,8300,"F",10000,"F"
32,1973,689,8300,"F",10000,"F"
32,1974,689,8300,"F",10000,"F"
32,1975,689,8300,"F",10000,"F"
32,1976,689,8300,"F",10000,"F"
32,1977,689,8300,"F",10000,"F"
32,1978,689,8300,"F",10000,"F"
32,1979,689,8300,"F",10000,"F"
32,1980,689,8300,"F",10000,"F"
32,1981,689,8300,"F",10000,"F"
32,1982,689,8300,"F",10000,"F"
32,1983,689,8300,"F",10000,"F"
32,1984,689,8300,"F",10000,"F"
32,1985,689,8300,"F",10000,"F"
32,1986,689,8300,"F",10000,"F"
32,1987,689,8300,"F",10000,"F"
32,1988,689,8300,"F",10000,"F"
32,1989,689,8300,"F",10000,"F"
32,1990,689,8569,"E",10325,"E"
32,1991,689,8000,"F",10661,"E"
32,1992,689,7574,"E",10942,"E"
32,1993,689,7200,"F",9000,"F"
32,1994,689,7480,"E",9581,"E"
32,1995,689,6200,"F",8000,"F"
32,1996,689,6386,"E",8235,"E"
32,1997,689,5300,"F",7000,"F"
32,1998,689,5364,"E",7250,"E"
32,1999,689,2965," ",6133," "
32,2000,689,4566," ",6133," "
32,2001,689,4500,"F",6138," "
32,2002,689,4700,"F",7000,"F"
32,2003,689,6700,"F",10000,"F"
32,2004,689,6765," ",8657," "
32,2005,689,6300,"*",14178," "
32,2006,689,6900,"*",18228," "
32,2007,689,10076," ",20142," "
32,2008,689,11038," ",22063," "
32,2009,689,11500,"F",23500,"F"
32,2010,689,12000,"F",25000,"F"
32,2011,689,12200,"F",24398,"E"
35,1961,689,90,"F",800,"F"
35,1962,689,80,"F",800,"F"
35,1963,689,80,"F",800,"F"
35,1964,689,80,"F",800,"F"
35,1965,689,80,"F",800,"F"
35,1966,689,80,"F",800,"F"
35,1967,689,80,"F",800,"F"
35,1968,689,80,"F",800,"F"
35,1969,689,80,"F",800,"F"
35,1970,689,80,"F",800,"F"
35,1971,689,80,"F",800,"F"
35,1972,689,80,"F",800,"F"
35,1973,689,80,"F",800,"F"
35,1974,689,80,"F",800,"F"
35,1975,689,80,"F",800,"F"
35,1976,689,80,"F",800,"F"
35,1977,689,80,"F",800,"F"
35,1978,689,80,"F",800,"F"
35,1979,689,80,"F",800,"F"
35,1980,689,80,"F",800,"F"
35,1981,689,80,"F",800,"F"
35,1982,689,80,"F",800,"F"
35,1983,689,80,"F",800,"F"
35,1984,689,80,"F",800,"F"
35,1985,689,80,"F",800,"F"
35,1986,689,80,"F",800,"F"
35,1987,689,80,"F",800,"F"
35,1988,689,80,"F",800,"F"
35,1989,689,76," ",1140," "
35,1990,689,75," ",1118," "
35,1991,689,30," ",300," "
35,1992,689,42," ",420," "
35,1993,689,80," ",800," "
35,1994,689,86," ",860," "
35,1995,689,75," ",750," "
35,1996,689,78," ",1170," "
35,1997,689,60,"F",800,"F"
35,1998,689,70,"F",900,"F"
35,1999,689,70,"F",1000,"F"
35,2000,689,73,"E",900,"F"
35,2001,689,74,"E",954,"E"
35,2002,689,75,"F",1000,"F"
35,2003,689,78,"E",1060,"E"
35,2004,689,80,"E",1111,"E"
35,2005,689,75,"F",1000,"F"
35,2006,689,80,"F",1100,"F"
35,2007,689,90,"F",1250,"F"
35,2008,689,110,"E",1445,"E"
35,2009,689,99,"E",1445,"F"
35,2010,689,81,"E",1300,"E"
35,2011,689,112,"F",1350,"F"
37,1961,689,0,"M",70,"F"
37,1962,689,0,"M",110,"F"
37,1963,689,0,"M",90,"F"
37,1964,689,0,"M",60,"F"
37,1965,689,0,"M",20,"F"
37,1966,689,0,"M",18," "
37,1967,689,0,"M",25," "
37,1968,689,0,"M",30,"F"
37,1969,689,0,"M",40,"F"
37,1970,689,0,"M",45,"F"
37,1971,689,0,"M",55,"F"
37,1972,689,0,"M",50,"F"
37,1973,689,0,"M",40,"F"
37,1974,689,0,"M",40,"F"
37,1975,689,0,"M",40,"F"
37,1976,689,0,"M",40,"F"
37,1977,689,0,"M",50,"F"
37,1978,689,0,"M",70,"F"
37,1979,689,0,"M",75,"F"
37,1980,689,0,"M",80,"F"
37,1981,689,0,"M",80,"F"
37,1982,689,0,"M",83,"F"
37,1983,689,0,"M",83,"F"
37,1984,689,0,"M",85,"F"
37,1985,689,100,"F",90,"F"
37,1986,689,100,"F",90,"F"
37,1987,689,100,"F",90,"F"
37,1988,689,100,"F",92,"F"
37,1989,689,100,"F",92,"F"
37,1990,689,103,"F",94,"F"
37,1991,689,105,"F",95,"F"
37,1992,689,99,"E",96,"F"
37,1993,689,107,"F",97,"F"
37,1994,689,111,"E",103,"E"
37,1995,689,130,"E",106,"E"
37,1996,689,134,"E",98,"F"
37,1997,689,108,"F",99,"F"
37,1998,689,110,"F",100,"F"
37,1999,689,105,"E",131,"E"
37,2000,689,112,"F",102,"F"
37,2001,689,116,"E",103,"E"
37,2002,689,113,"E",101,"E"
37,2003,689,114,"E",111,"E"
37,2004,689,115,"E",116,"E"
37,2005,689,157,"E",111,"E"
37,2006,689,110,"F",100,"F"
37,2007,689,97,"E",103,"E"
37,2008,689,102,"E",108,"E"
37,2009,689,127,"E",100,"F"
37,2010,689,104,"E",119,"E"
37,2011,689,78,"E",116,"E"
41,1961,689,19000,"F",63000,"F"
41,1962,689,19000,"F",65000,"F"
41,1963,689,18000,"F",66000,"F"
41,1964,689,20000,"F",70000,"F"
41,1965,689,20500,"F",78000,"F"
41,1966,689,20000,"F",80000,"F"
41,1967,689,20000,"F",80000,"F"
41,1968,689,21000,"F",85000,"F"
41,1969,689,22000,"F",88000,"F"
41,1970,689,20500,"F",90000,"F"
41,1971,689,22000,"F",94000,"F"
41,1972,689,21000,"F",96000,"F"
41,1973,689,21500,"F",99000,"F"
41,1974,689,22000,"F",1e+05,"F"
41,1975,689,23000,"F",105000,"F"
41,1976,689,23500,"F",108000,"F"
41,1977,689,23500,"F",110000,"F"
41,1978,689,24000,"F",112000,"F"
41,1979,689,23000,"F",116000,"F"
41,1980,689,24000,"F",118000,"F"
41,1981,689,24000,"F",120000,"F"
41,1982,689,24500,"F",125000,"F"
41,1983,689,26000,"F",130000,"F"
41,1984,689,25500,"F",135000,"F"
41,1985,689,25000,"F",140000,"F"
41,1986,689,29000,"F",145000,"F"
41,1987,689,27000,"F",150000,"F"
41,1988,689,27000,"F",152000,"F"
41,1989,689,28000,"F",156000,"F"
41,1990,689,28500,"F",160000,"F"
41,1991,689,28000,"F",164000,"F"
41,1992,689,29000,"F",168000,"F"
41,1993,689,30000,"F",172000,"F"
41,1994,689,32328,"E",180000,"F"
41,1995,689,33151,"E",175000,"F"
41,1996,689,34819,"E",180000,"F"
41,1997,689,33000,"F",2e+05,"F"
41,1998,689,42010,"E",205000,"F"
41,1999,689,34000,"F",215000,"F"
41,2000,689,35000,"F",212000,"F"
41,2001,689,37289,"E",215000,"F"
41,2002,689,35500,"F",220000,"F"
41,2003,689,36000,"F",230000,"F"
41,2004,689,41124,"E",235000,"F"
41,2005,689,36500,"F",240000,"F"
41,2006,689,38000,"F",245000,"F"
41,2007,689,40000,"F",250000,"F"
41,2008,689,41000,"F",252000,"F"
41,2009,689,42000,"F",260000,"F"
41,2010,689,43000,"F",265000,"F"
41,2011,689,42773,"E",282342,"E"
51,1961,689,1700,"F",1900,"F"
51,1962,689,1700,"F",1900,"F"
51,1963,689,1700,"F",1900,"F"
51,1964,689,1729," ",1913," "
51,1965,689,1394," ",824," "
51,1966,689,1639," ",1887," "
51,1967,689,1835," ",2081," "
51,1968,689,2009," ",1767," "
51,1969,689,2129," ",3433," "
51,1970,689,2075," ",2313," "
51,1971,689,1604," ",1845," "
51,1972,689,1499," ",1955," "
51,1973,689,1808," ",1726," "
51,1974,689,1911," ",1856," "
51,1975,689,1878," ",3391," "
51,1976,689,1953," ",1750," "
51,1977,689,1973," ",2244," "
51,1978,689,1960," ",1259," "
51,1979,689,2168," ",2263," "
51,1980,689,2310," ",1123," "
51,1981,689,2123," ",2312," "
51,1982,689,2238," ",3358," "
51,1983,689,2309," ",2332," "
51,1984,689,2372," ",1469," "
51,1985,689,2373," ",3497," "
51,1986,689,2147," ",1778," "
51,1987,689,2172," ",2440," "
51,1988,689,1954," ",1919," "
51,1989,689,2204," ",2116," "
51,1990,689,1842," ",1055," "
51,1991,689,2560," ",3108," "
51,1992,689,2000,"F",2200,"F"
51,1993,689,0,"F",0,"F"
51,1994,689,0,"T",0,"T"
51,1995,689,0,"T",0,"T"
51,1996,689,0,"T",0,"T"
51,1997,689,0,"T",0,"T"
51,1998,689,0,"T",0,"T"
51,1999,689,0,"T",0,"T"
51,2000,689,0,"T",0,"T"
51,2001,689,0,"T",0,"T"
51,2002,689,0,"T",0,"T"
51,2003,689,0,"T",0,"T"
51,2004,689,0,"T",0,"T"
51,2005,689,0,"T",0,"T"
51,2006,689,0,"T",0,"T"
51,2007,689,0,"T",0,"T"
51,2008,689,0,"T",0,"T"
51,2009,689,0,"T",0,"T"
51,2010,689,0,"T",0,"T"
51,2011,689,0,"T",0,"T"
53,1961,689,1000,"F",100,"F"
53,1962,689,1000,"F",100,"F"
53,1963,689,1000,"F",100,"F"
53,1964,689,1000,"F",100,"F"
53,1965,689,1000,"F",100,"F"
53,1966,689,1000,"F",100,"F"
53,1967,689,1000,"F",100,"F"
53,1968,689,1000,"F",200,"F"
53,1969,689,1000,"F",200,"F"
53,1970,689,1000,"F",200,"F"
53,1971,689,1000,"F",300,"F"
53,1972,689,1000,"F",500," "
53,1973,689,1000,"F",800," "
53,1974,689,1000,"F",800,"F"
53,1975,689,1000,"F",800,"F"
53,1976,689,1000,"F",800,"F"
53,1977,689,1000,"F",800,"F"
53,1978,689,1000,"F",800,"F"
53,1979,689,1000,"F",800,"F"
53,1980,689,1500,"F",900,"F"
53,1981,689,2000,"F",1000,"F"
53,1982,689,2500,"F",1100,"F"
53,1983,689,2500,"F",1226," "
53,1984,689,2789," ",1895," "
53,1985,689,3633," ",2061," "
53,1986,689,5615," ",3511," "
53,1987,689,7000,"F",4500,"F"
53,1988,689,8500,"F",5500,"F"
53,1989,689,10000,"F",7000,"F"
53,1990,689,12013," ",13191," "
53,1991,689,10730," ",11705," "
53,1992,689,13168," ",17160," "
53,1993,689,13500,"F",15000,"F"
53,1994,689,13843," ",14599," "
53,1995,689,16785," ",21723," "
53,1996,689,17155,"*",18337,"*"
53,1997,689,15000,"F",16000,"F"
53,1998,689,14000,"F",15000,"F"
53,1999,689,13000,"F",14000,"F"
53,2000,689,13441,"E",14895,"E"
53,2001,689,13900,"E",15791,"E"
53,2002,689,14348,"E",15953,"E"
53,2003,689,15015,"E",16905,"E"
53,2004,689,13200,"F",14500,"F"
53,2005,689,11534,"E",15670,"E"
53,2006,689,13500,"F",17164,"E"
53,2007,689,15926," ",27384," "
53,2008,689,23348," ",44930," "
53,2009,689,18578," ",25867," "
53,2010,689,23561," ",38432," "
53,2011,689,19722," ",38542," "
59,1961,689,7500,"F",20000,"F"
59,1962,689,7500,"F",21000,"F"
59,1963,689,7600,"F",22000,"F"
59,1964,689,7800,"F",23000,"F"
59,1965,689,9000,"F",24000,"F"
59,1966,689,9600,"F",25000,"F"
59,1967,689,10000,"F",26000,"F"
59,1968,689,10000,"F",26000,"F"
59,1969,689,10000,"F",26000,"F"
59,1970,689,10000,"F",27000,"F"
59,1971,689,10000,"F",27000,"F"
59,1972,689,10000,"F",27000,"F"
59,1973,689,11000,"F",28000,"F"
59,1974,689,11000,"F",28000,"F"
59,1975,689,11000,"F",28000,"F"
59,1976,689,11000,"F",29000,"F"
59,1977,689,11500,"F",30000,"F"
59,1978,689,11500,"F",30000,"F"
59,1979,689,11500,"F",32000,"F"
59,1980,689,11500,"F",32000,"F"
59,1981,689,12500,"F",33000,"F"
59,1982,689,12500,"F",33000,"F"
59,1983,689,12500,"F",33000,"F"
59,1984,689,13000,"F",34000,"F"
59,1985,689,13000,"F",35000,"F"
59,1986,689,13000,"F",36000,"F"
59,1987,689,13000,"F",37000,"F"
59,1988,689,13000,"F",38000,"F"
59,1989,689,13000,"F",38500,"F"
59,1990,689,13000,"F",39000,"F"
59,1991,689,13000,"F",40000,"F"
59,1992,689,13000,"F",41000,"F"
59,1993,689,13000,"F",42000,"F"
59,1994,689,13000,"F",43000,"F"
59,1995,689,13000,"F",44000,"F"
59,1996,689,13500,"F",44500,"F"
59,1997,689,14000,"F",45000,"F"
59,1998,689,14500,"F",45500,"F"
59,1999,689,14500,"F",45600,"F"
59,2000,689,14500,"F",45600,"F"
59,2001,689,14500,"F",45600,"F"
59,2002,689,14500,"F",45600,"F"
59,2003,689,14500,"F",45600,"F"
59,2004,689,14500,"F",45600,"F"
59,2005,689,14500,"F",45600,"F"
59,2006,689,14500,"F",45600,"F"
59,2007,689,14500,"F",45600,"F"
59,2008,689,14500,"F",45600,"F"
59,2009,689,14489,"E",40349,"E"
59,2010,689,16227,"E",53846,"E"
59,2011,689,17327,"E",62345,"E"
62,1961,689,210000," ",84000," "
62,1962,689,215000," ",86000," "
62,1963,689,220000," ",88000," "
62,1964,689,221000," ",88400," "
62,1965,689,224500," ",89000," "
62,1966,689,228000," ",93000," "
62,1967,689,230000," ",94300," "
62,1968,689,233200," ",95600," "
62,1969,689,236500," ",97300," "
62,1970,689,239900," ",99500," "
62,1971,689,243200," ",102200," "
62,1972,689,246500," ",105500," "
62,1973,689,248000,"F",104000,"F"
62,1974,689,250000,"F",105000,"F"
62,1975,689,250000,"F",105000,"F"
62,1976,689,257000,"F",108000,"F"
62,1977,689,255000,"F",106000,"F"
62,1978,689,250000,"F",105000,"F"
62,1979,689,250000,"F",105000,"F"
62,1980,689,255000,"F",106000,"F"
62,1981,689,260000,"F",107000,"F"
62,1982,689,260000,"F",107000,"F"
62,1983,689,265000,"F",108000,"F"
62,1984,689,270000,"F",1e+05,"F"
62,1985,689,270000,"F",90000,"F"
62,1986,689,270000,"F",95000,"F"
62,1987,689,270000,"F",90000,"F"
62,1988,689,270000,"F",92000,"F"
62,1989,689,270000,"F",95000,"F"
62,1990,689,274319,"E",1e+05,"F"
62,1991,689,261023,"E",98000,"F"
62,1992,689,280000,"F",1e+05,"F"
62,1993,689,0,"F",0,"F"
62,1994,689,0,"F",0,"F"
62,1995,689,0,"T",0,"T"
62,1996,689,0,"T",0,"T"
62,1997,689,0,"T",0,"T"
62,1998,689,0,"T",0,"T"
62,1999,689,0,"T",0,"T"
62,2000,689,0,"T",0,"T"
62,2001,689,0,"T",0,"T"
62,2002,689,0,"T",0,"T"
62,2003,689,0,"T",0,"T"
62,2004,689,0,"T",0,"T"
62,2005,689,0,"T",0,"T"
62,2006,689,0,"T",0,"T"
62,2007,689,0,"T",0,"T"
62,2008,689,0,"T",0,"T"
62,2009,689,0,"T",0,"T"
62,2010,689,0,"T",0,"T"
62,2011,689,0,"T",0,"T"
69,1961,689,0," ",0," "
69,1962,689,0," ",0," "
69,1963,689,0," ",0," "
69,1964,689,0," ",0," "
69,1965,689,0," ",0," "
69,1966,689,0," ",0," "
69,1967,689,0," ",0," "
69,1968,689,0," ",0," "
69,1969,689,0," ",0," "
69,1970,689,0," ",0," "
69,1971,689,0," ",0," "
69,1972,689,0," ",0," "
69,1973,689,0," ",0," "
69,1974,689,0," ",0," "
69,1975,689,0," ",0," "
69,1976,689,0," ",0," "
69,1977,689,0," ",0," "
69,1978,689,0," ",0," "
69,1979,689,0," ",0," "
69,1980,689,0," ",0," "
69,1981,689,0," ",0," "
69,1982,689,0," ",0," "
69,1983,689,0," ",0," "
69,1984,689,0," ",0," "
69,1985,689,0," ",0," "
69,1986,689,0," ",0," "
69,1987,689,0," ",0," "
69,1988,689,0," ",0," "
69,1989,689,15," ",4," "
69,1990,689,10,"E",3,"E"
69,1991,689,8,"E",2,"E"
69,1992,689,0," ",0," "
69,1993,689,0,"M",0,"M"
69,1994,689,0,"M",0,"M"
69,1995,689,0,"M",0,"M"
69,1996,689,0,"M",0,"M"
69,1997,689,0,"M",0,"M"
69,1998,689,0,"M",0,"M"
69,1999,689,0,"M",0,"M"
69,2000,689,0,"M",0,"M"
69,2001,689,0,"M",0,"M"
69,2002,689,0,"M",0,"M"
69,2003,689,0,"M",0,"M"
69,2004,689,0,"M",0,"M"
