"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
19,1961,687,0,"M",0,"M"
19,1962,687,0,"M",0,"M"
19,1963,687,0,"M",0,"M"
19,1964,687,0,"M",0,"M"
19,1965,687,0,"M",0,"M"
19,1966,687,0,"M",0,"M"
19,1967,687,0,"M",0,"M"
19,1968,687,0,"M",0,"M"
19,1969,687,0,"M",0,"M"
19,1970,687,0,"M",0,"M"
19,1971,687,0,"M",0,"M"
19,1972,687,0,"M",0,"M"
19,1973,687,0,"M",0,"M"
19,1974,687,0,"M",0,"M"
19,1975,687,0,"M",0,"M"
19,1976,687,0,"M",0,"M"
19,1977,687,0,"M",0,"M"
19,1978,687,0,"M",0,"M"
19,1979,687,0,"M",0,"M"
19,1980,687,0,"M",0,"M"
19,1981,687,0,"M",0,"M"
19,1982,687,0,"M",0,"M"
19,1983,687,0,"M",0,"M"
19,1984,687,0,"M",0,"M"
19,1985,687,0,"M",0,"M"
19,1986,687,0,"M",0,"M"
19,1987,687,23," ",15," "
19,1988,687,23," ",15," "
19,1989,687,26," ",17," "
19,1990,687,29," ",19," "
19,1991,687,34," ",22," "
19,1992,687,37," ",24," "
19,1993,687,40," ",26," "
19,1994,687,43," ",28," "
19,1995,687,44," ",28," "
19,1996,687,60," ",39," "
19,1997,687,372," ",248," "
19,1998,687,926," ",629," "
19,1999,687,927," ",634," "
19,2000,687,929," ",639," "
19,2001,687,1101," ",763," "
19,2002,687,1321," ",831," "
19,2003,687,1618," ",912," "
19,2004,687,1832," ",1044," "
19,2005,687,2012," ",1164," "
19,2006,687,1995," ",1171," "
19,2007,687,2032," ",1170," "
19,2008,687,2240," ",1261," "
19,2009,687,2248," ",1263," "
19,2010,687,1867,"E",988,"E"
19,2011,687,1712,"E",855,"E"
21,1961,687,2946," ",4688," "
21,1962,687,2980," ",3753," "
21,1963,687,3748," ",6454," "
21,1964,687,3755," ",6461," "
21,1965,687,4426," ",8923," "
21,1966,687,4394," ",9584," "
21,1967,687,4768," ",10323," "
21,1968,687,5567," ",14094," "
21,1969,687,5453," ",14031," "
21,1970,687,5473," ",14267," "
21,1971,687,5741," ",15092," "
21,1972,687,6105," ",15527," "
21,1973,687,8359," ",24980," "
21,1974,687,8261," ",27876," "
21,1975,687,9909," ",28720," "
21,1976,687,11173," ",30380," "
21,1977,687,12578," ",37877," "
21,1978,687,15786," ",47015," "
21,1979,687,19879," ",49006," "
21,1980,687,23069," ",62563," "
21,1981,687,22998," ",40436," "
21,1982,687,22481," ",51083," "
21,1983,687,20732," ",32346," "
21,1984,687,20177," ",43599," "
21,1985,687,19219," ",37941," "
21,1986,687,20532," ",45296," "
21,1987,687,20852," ",45984," "
21,1988,687,23785," ",59351," "
21,1989,687,28450," ",64534," "
21,1990,687,34093," ",78155," "
21,1991,687,36888," ",83906," "
21,1992,687,29109," ",33034," "
21,1993,687,23572," ",42270," "
21,1994,687,21023," ",34927," "
21,1995,687,18743," ",33852," "
21,1996,687,16669," ",32318," "
21,1997,687,12040," ",22359," "
21,1998,687,11175," ",23050," "
21,1999,687,13313," ",27727," "
21,2000,687,16217," ",38685," "
21,2001,687,20739," ",50140," "
21,2002,687,23101," ",56935," "
21,2003,687,25628," ",67197," "
21,2004,687,26635," ",65800," "
21,2005,687,31832," ",79102," "
21,2006,687,33224," ",80316," "
21,2007,687,32857," ",77770," "
21,2008,687,29549," ",69600," "
21,2009,687,27415," ",65398," "
21,2010,687,23263," ",52137," "
21,2011,687,21089," ",44610," "
26,1961,687,15,"F",6,"F"
26,1962,687,15,"F",6,"F"
26,1963,687,20,"F",8,"F"
26,1964,687,20,"F",8,"F"
26,1965,687,20,"F",10,"F"
26,1966,687,23," ",7," "
26,1967,687,23," ",8," "
26,1968,687,21," ",11," "
26,1969,687,21," ",3," "
26,1970,687,20,"F",6,"F"
26,1971,687,20," ",6," "
26,1972,687,60,"F",31," "
26,1973,687,46," ",35,"F"
26,1974,687,44,"F",30,"F"
26,1975,687,15," ",6," "
26,1976,687,13," ",9," "
26,1977,687,25," ",10," "
26,1978,687,49," ",19," "
26,1979,687,33," ",11," "
26,1980,687,35," ",16," "
26,1981,687,32," ",13," "
26,1982,687,36," ",16," "
26,1983,687,41," ",17," "
26,1984,687,41," ",17,"F"
26,1985,687,40," ",19," "
26,1986,687,35," ",13," "
26,1987,687,37," ",13," "
26,1988,687,40,"F",18,"F"
26,1989,687,40,"F",20,"F"
26,1990,687,43,"E",22,"E"
26,1991,687,35,"F",15,"F"
26,1992,687,34,"E",16,"E"
26,1993,687,36,"E",14,"E"
26,1994,687,40,"F",16,"F"
26,1995,687,39,"E",17,"E"
26,1996,687,45,"F",18,"F"
26,1997,687,46,"E",19,"E"
26,1998,687,50,"F",20,"F"
26,1999,687,61,"E",22,"E"
26,2000,687,60,"F",25,"F"
26,2001,687,65,"F",26,"F"
26,2002,687,77,"E",27,"E"
26,2003,687,89,"E",31,"E"
26,2004,687,70,"F",28,"F"
26,2005,687,69,"E",29,"E"
26,2006,687,77,"E",26,"E"
26,2007,687,73,"E",27,"E"
26,2008,687,75,"E",29,"E"
26,2009,687,83,"E",25,"E"
26,2010,687,76,"E",29,"E"
26,2011,687,74,"E",27,"E"
32,1961,687,160,"F",20,"F"
32,1962,687,160,"F",20,"F"
32,1963,687,170,"F",30,"F"
32,1964,687,170,"F",30,"F"
32,1965,687,200,"F",40,"F"
32,1966,687,190,"F",39," "
32,1967,687,270,"F",60," "
32,1968,687,270,"F",60,"F"
32,1969,687,100,"F",20,"F"
32,1970,687,100,"F",20,"F"
32,1971,687,130,"F",33,"*"
32,1972,687,170,"F",43,"*"
32,1973,687,220,"F",57,"*"
32,1974,687,220,"F",60,"*"
32,1975,687,220,"F",56,"F"
32,1976,687,220,"F",48," "
32,1977,687,220,"F",57," "
32,1978,687,220,"F",60," "
32,1979,687,220,"F",58," "
32,1980,687,220,"F",62," "
32,1981,687,220,"F",66," "
32,1982,687,220,"F",51," "
32,1983,687,220,"F",60,"F"
32,1984,687,220,"F",60,"F"
32,1985,687,230,"F",60,"F"
32,1986,687,240,"F",60,"F"
32,1987,687,240,"F",61,"F"
32,1988,687,240,"F",61,"F"
32,1989,687,250,"F",61,"F"
32,1990,687,254,"F",68,"E"
32,1991,687,260,"F",63,"F"
32,1992,687,213,"E",60,"E"
32,1993,687,223,"E",65,"F"
32,1994,687,202,"E",69,"E"
32,1995,687,167,"E",71,"E"
32,1996,687,175,"E",70,"F"
32,1997,687,157,"E",50,"E"
32,1998,687,165,"E",57,"E"
32,1999,687,160,"E",54,"E"
32,2000,687,158,"E",52,"E"
32,2001,687,157,"E",58,"E"
32,2002,687,162,"E",57,"E"
32,2003,687,165,"E",61,"E"
32,2004,687,157,"E",64,"E"
32,2005,687,195,"E",65,"E"
32,2006,687,202,"E",71,"E"
32,2007,687,260,"F",83,"E"
32,2008,687,260,"F",95,"E"
32,2009,687,265,"F",100,"F"
32,2010,687,270,"F",105,"F"
32,2011,687,249,"E",71,"E"
38,1961,687,5500,"F",2700,"F"
38,1962,687,5500,"F",2700,"F"
38,1963,687,5500,"F",2700,"F"
38,1964,687,5595," ",2800,"*"
38,1965,687,5826," ",2950,"*"
38,1966,687,4721," ",2400,"*"
38,1967,687,4885," ",2450,"*"
38,1968,687,5645," ",2850,"*"
38,1969,687,5574," ",2800,"*"
38,1970,687,6429," ",3250,"*"
38,1971,687,5508," ",2800,"*"
38,1972,687,5884," ",2950,"*"
38,1973,687,5942," ",3000,"*"
38,1974,687,5970," ",3000,"*"
38,1975,687,6445," ",3250,"*"
38,1976,687,6535," ",3300,"*"
38,1977,687,7128," ",3600,"*"
38,1978,687,7443," ",3750,"*"
38,1979,687,7830," ",3931," "
38,1980,687,9080," ",4601," "
38,1981,687,9470," ",4792," "
38,1982,687,9704," ",4906," "
38,1983,687,9990," ",5052," "
38,1984,687,11310," ",5531," "
38,1985,687,11510," ",5808," "
38,1986,687,13812," ",5627," "
38,1987,687,15013," ",6389," "
38,1988,687,15620," ",6831," "
38,1989,687,15940," ",8473," "
38,1990,687,15601," ",8732," "
38,1991,687,16667," ",9938," "
38,1992,687,17190," ",10888," "
38,1993,687,24970," ",14100," "
38,1994,687,25590," ",14712," "
38,1995,687,26990," ",16000," "
38,1996,687,26880," ",16890," "
38,1997,687,27030," ",17270," "
38,1998,687,28050," ",17810," "
38,1999,687,28230," ",17270," "
38,2000,687,28440," ",16860," "
38,2001,687,28470," ",17090," "
38,2002,687,28500,"F",17700," "
38,2003,687,30030," ",17860," "
38,2004,687,31330," ",18560," "
38,2005,687,31150," ",18290," "
38,2006,687,30490," ",18600," "
38,2007,687,30520," ",19390," "
38,2008,687,34070," ",22870," "
38,2009,687,36180," ",25300," "
38,2010,687,37340," ",26620," "
38,2011,687,36430," ",25770," "
41,1961,687,5000,"F",1000,"F"
41,1962,687,5000,"F",1200,"F"
41,1963,687,5000,"F",1200,"F"
41,1964,687,5000,"F",1000,"F"
41,1965,687,5000,"F",1200,"F"
41,1966,687,5000,"F",1250,"F"
41,1967,687,6000,"F",1500,"F"
41,1968,687,6000,"F",1600,"F"
41,1969,687,6000,"F",1400,"F"
41,1970,687,6000,"F",1500,"F"
41,1971,687,7000,"F",1500,"F"
41,1972,687,7000,"F",1600,"F"
41,1973,687,7000,"F",1650,"F"
41,1974,687,7000,"F",1600,"F"
41,1975,687,7000,"F",1700,"F"
41,1976,687,8000,"F",1750,"F"
41,1977,687,8000,"F",1800,"F"
41,1978,687,8000,"F",1850,"F"
41,1979,687,8000,"F",1850,"F"
41,1980,687,8000,"F",1900,"F"
41,1981,687,8000,"F",2000,"F"
41,1982,687,8500,"F",2500,"F"
41,1983,687,9000,"F",3000,"F"
41,1984,687,9000,"F",3500,"F"
41,1985,687,9000,"F",3500,"F"
41,1986,687,12000,"F",4000,"F"
41,1987,687,12000,"F",5000,"F"
41,1988,687,14000,"*",6975," "
41,1989,687,17200,"*",8882," "
41,1990,687,14000," ",10993," "
41,1991,687,10000," ",9000," "
41,1992,687,13000," ",13000," "
41,1993,687,11000," ",12000," "
41,1994,687,11000," ",13000," "
41,1995,687,11280,"E",12000,"F"
41,1996,687,12000,"F",14000,"F"
41,1997,687,13796,"E",15000,"F"
41,1998,687,12500,"F",17000,"F"
41,1999,687,12000,"F",18000,"F"
41,2000,687,12500,"F",17500,"F"
41,2001,687,13000,"F",18500,"F"
41,2002,687,13500,"F",20500,"F"
41,2003,687,14000,"F",21500,"F"
41,2004,687,15000,"F",22000,"F"
41,2005,687,16698,"E",22500,"F"
41,2006,687,16000,"F",24000,"F"
41,2007,687,16500,"F",26000,"F"
41,2008,687,14210,"E",27000,"F"
41,2009,687,14130,"E",28000,"F"
41,2010,687,16924,"E",30000,"F"
41,2011,687,16835,"E",29000,"F"
48,1961,687,0,"M",0,"M"
48,1962,687,0,"M",0,"M"
48,1963,687,0,"M",0,"M"
48,1964,687,0,"M",0,"M"
48,1965,687,0,"M",0,"M"
48,1966,687,0,"M",0,"M"
48,1967,687,0,"M",0,"M"
48,1968,687,0,"M",0,"M"
48,1969,687,0,"M",0,"M"
48,1970,687,0,"M",0,"M"
48,1971,687,0,"M",0,"M"
48,1972,687,0,"M",0,"M"
48,1973,687,0,"M",0,"M"
48,1974,687,0,"M",0,"M"
48,1975,687,0,"M",0,"M"
48,1976,687,0,"M",0,"M"
48,1977,687,0,"M",0,"M"
48,1978,687,0,"M",0,"M"
48,1979,687,0,"M",0,"M"
48,1980,687,0,"M",0,"M"
48,1981,687,145,"F",250,"F"
48,1982,687,200,"F",350,"F"
48,1983,687,260,"F",450,"F"
48,1984,687,315,"F",550,"F"
48,1985,687,375,"F",650,"F"
48,1986,687,430,"F",750,"F"
48,1987,687,490,"F",850,"F"
48,1988,687,500,"F",870,"F"
48,1989,687,500,"F",870,"F"
48,1990,687,499," ",868," "
48,1991,687,650," ",1950," "
48,1992,687,498," ",2170," "
48,1993,687,488," ",1952," "
48,1994,687,486," ",1944," "
48,1995,687,450," ",2000," "
48,1996,687,450," ",2000," "
48,1997,687,450," ",2000," "
48,1998,687,130," ",504," "
48,1999,687,104," ",564," "
48,2000,687,193," ",373," "
48,2001,687,133," ",258," "
48,2002,687,145," ",281," "
48,2003,687,155," ",1240," "
48,2004,687,120," ",960," "
48,2005,687,84," ",124.4," "
48,2006,687,124," ",995," "
48,2007,687,124," ",995," "
48,2008,687,124," ",995," "
48,2009,687,130," ",1040," "
48,2010,687,150," ",1040," "
48,2011,687,150," ",1040," "
53,1961,687,400,"F",100,"F"
53,1962,687,400,"F",100,"F"
53,1963,687,400,"F",100," "
53,1964,687,400,"F",100,"F"
53,1965,687,400,"F",100,"F"
53,1966,687,400,"F",100," "
53,1967,687,600,"F",150,"F"
53,1968,687,400,"F",100,"F"
53,1969,687,400,"F",100,"F"
53,1970,687,400,"F",100,"F"
53,1971,687,400,"F",100,"F"
53,1972,687,400,"F",100,"F"
53,1973,687,400,"F",100,"F"
53,1974,687,800,"F",200,"F"
53,1975,687,600,"F",150,"F"
53,1976,687,800,"F",200,"F"
53,1977,687,600,"F",150,"F"
53,1978,687,600,"F",150,"F"
53,1979,687,600,"F",150,"F"
53,1980,687,600,"F",150,"F"
53,1981,687,600,"F",150,"F"
53,1982,687,600,"F",150,"F"
53,1983,687,600,"F",150,"F"
53,1984,687,600,"F",150,"F"
53,1985,687,600,"F",150,"F"
53,1986,687,600,"F",150,"F"
53,1987,687,600,"F",150,"F"
53,1988,687,600,"F",150,"F"
53,1989,687,600,"F",150,"F"
53,1990,687,720,"E",191,"E"
53,1991,687,830,"E",186,"E"
53,1992,687,895,"E",223,"E"
53,1993,687,983,"E",252,"E"
53,1994,687,1056,"E",271,"E"
53,1995,687,1218,"E",326,"E"
53,1996,687,1302,"E",336,"E"
53,1997,687,1335,"E",332,"E"
53,1998,687,1360,"E",348,"E"
53,1999,687,1264,"E",363,"E"
53,2000,687,1305,"E",386,"E"
53,2001,687,1324,"E",409,"E"
53,2002,687,1343,"E",413,"E"
53,2003,687,1386,"E",438,"E"
53,2004,687,1413,"E",459,"E"
53,2005,687,1480,"E",496,"E"
53,2006,687,1569,"E",543,"E"
53,2007,687,610,"F",160,"F"
53,2008,687,745,"E",185,"E"
53,2009,687,593,"E",150,"F"
53,2010,687,593,"F",160,"E"
53,2011,687,595,"F",168,"F"
58,1961,687,0,"M",0,"M"
58,1962,687,0,"M",0,"M"
58,1963,687,0,"M",0,"M"
58,1964,687,0,"M",0,"M"
58,1965,687,0,"M",0,"M"
58,1966,687,0,"M",0,"M"
58,1967,687,0,"M",0,"M"
58,1968,687,0,"M",0,"M"
58,1969,687,0,"M",0,"M"
58,1970,687,0,"M",0,"M"
58,1971,687,0,"M",0,"M"
58,1972,687,0,"M",0,"M"
58,1973,687,0,"M",0,"M"
58,1974,687,0,"M",0,"M"
58,1975,687,0,"M",0,"M"
58,1976,687,0,"M",0,"M"
58,1977,687,0,"M",0,"M"
58,1978,687,0,"M",0,"M"
58,1979,687,0,"M",0,"M"
58,1980,687,0,"M",0,"M"
58,1981,687,0,"M",0,"M"
58,1982,687,0,"M",0,"M"
58,1983,687,0,"M",0,"M"
58,1984,687,0,"M",0,"M"
58,1985,687,0,"M",0,"M"
58,1986,687,0,"M",0,"M"
58,1987,687,0,"M",0,"M"
58,1988,687,0,"M",0,"M"
58,1989,687,0,"M",0,"M"
58,1990,687,0,"M",0,"M"
58,1991,687,0,"M",0,"M"
58,1992,687,0,"M",0,"M"
58,1993,687,0,"M",0,"M"
58,1994,687,0,"M",0,"M"
58,1995,687,0,"M",0,"M"
58,1996,687,0,"M",0,"M"
58,1997,687,0,"M",0,"M"
58,1998,687,0,"M",0,"M"
58,1999,687,1600,"F",3600,"F"
58,2000,687,1650,"F",3700,"F"
58,2001,687,2000,"F",4100,"F"
58,2002,687,1900,"F",4000,"F"
58,2003,687,2000,"F",4200,"F"
58,2004,687,2500," ",5250," "
58,2005,687,1473," ",3062," "
58,2006,687,1480,"F",3075,"F"
58,2007,687,1500,"F",3100,"F"
58,2008,687,1600,"F",3200,"F"
58,2009,687,1501,"E",3300,"F"
58,2010,687,1246,"E",2581,"E"
58,2011,687,1143,"E",2234,"E"
62,1961,687,400,"F",250,"F"
62,1962,687,500,"F",350,"F"
62,1963,687,600,"F",500,"F"
62,1964,687,800,"F",800,"F"
62,1965,687,700,"F",600,"F"
62,1966,687,200,"F",100,"F"
62,1967,687,200,"F",100,"F"
62,1968,687,200,"F",100,"F"
62,1969,687,200,"F",100,"F"
62,1970,687,200,"F",100,"F"
62,1971,687,200,"F",100,"F"
62,1972,687,200,"F",100,"F"
62,1973,687,200,"F",100,"F"
62,1974,687,200,"F",100,"F"
62,1975,687,200,"F",100,"F"
62,1976,687,200,"F",100,"F"
62,1977,687,200,"F",100,"F"
62,1978,687,200,"F",100,"F"
62,1979,687,200,"F",100,"F"
62,1980,687,300,"F",250,"F"
62,1981,687,200,"F",100,"F"
62,1982,687,200,"F",100,"F"
62,1983,687,200,"F",100,"F"
62,1984,687,200,"F",100,"F"
62,1985,687,200,"F",100,"F"
62,1986,687,200,"F",100,"F"
62,1987,687,200,"F",100,"F"
62,1988,687,200,"F",100,"F"
62,1989,687,200,"F",100,"F"
62,1990,687,210,"E",90,"E"
62,1991,687,205,"E",118,"E"
62,1992,687,300,"F",200,"F"
62,1993,687,0,"M",0,"F"
62,1994,687,0,"M",0,"F"
62,1995,687,0,"M",0,"T"
62,1996,687,0,"M",0,"T"
62,1997,687,0,"M",0,"T"
62,1998,687,0,"M",0,"T"
62,1999,687,0,"M",0,"T"
62,2000,687,0,"M",0,"T"
62,2001,687,0,"M",0,"T"
62,2002,687,0,"M",0,"T"
62,2003,687,0,"M",0,"T"
62,2004,687,0,"M",0,"T"
62,2005,687,0,"M",0,"T"
62,2006,687,0,"M",0,"T"
62,2007,687,0,"M",0,"T"
62,2008,687,0,"M",0,"T"
62,2009,687,0,"M",0,"T"
62,2010,687,0,"M",0,"T"
62,2011,687,0,"M",0,"T"
66,1961,687,610,"F",50,"F"
66,1962,687,610,"F",50,"F"
66,1963,687,607," ",50,"F"
66,1964,687,607," ",50,"F"
66,1965,687,607," ",50,"F"
66,1966,687,405," ",30,"F"
66,1967,687,607," ",50,"F"
66,1968,687,1330,"*",55,"F"
66,1969,687,1300,"F",60,"F"
66,1970,687,1290,"F",65,"F"
66,1971,687,1280,"F",70,"F"
66,1972,687,1270,"F",75,"F"
66,1973,687,1260,"F",80,"F"
66,1974,687,1250,"F",85,"F"
66,1975,687,1240,"F",90,"F"
66,1976,687,1230,"F",95,"F"
66,1977,687,1250,"F",100,"F"
66,1978,687,1250,"F",100,"F"
66,1979,687,1350,"F",110,"F"
66,1980,687,1350,"F",110,"F"
66,1981,687,1470,"F",120,"F"
66,1982,687,1470,"F",120,"F"
66,1983,687,1470,"F",120,"F"
66,1984,687,1600,"F",130,"F"
66,1985,687,1600,"F",130,"F"
66,1986,687,1600,"F",130,"F"
66,1987,687,1600,"F",130,"F"
66,1988,687,1600,"F",135,"F"
66,1989,687,1600,"F",135,"F"
66,1990,687,1918,"E",142,"E"
66,1991,687,2281,"E",140,"F"
66,1992,687,1650,"F",145,"F"
66,1993,687,1063,"E",127,"E"
66,1994,687,1700,"F",150,"F"
66,1995,687,1264,"E",167,"E"
66,1996,687,1600,"F",140,"F"
66,1997,687,1600,"F",156,"E"
66,1998,687,1700,"F",150,"F"
66,1999,687,1800,"F",160,"F"
66,2000,687,1800,"F",222,"E"
66,2001,687,1800,"F",160,"F"
66,2002,687,1800,"F",160,"F"
66,2003,687,1800,"F",160,"F"
66,2004,687,1800,"F",160,"F"
66,2005,687,1800,"F",160,"F"
66,2006,687,1800,"F",160,"F"
66,2007,687,1800,"F",160,"F"
66,2008,687,1800,"F",160,"F"
66,2009,687,1800,"F",152,"E"
66,2010,687,1800,"T",117,"E"
66,2011,687,1800,"T",117,"T"
73,1961,687,,,0,"M"
73,1962,687,,,0,"M"
73,1963,687,,,0,"M"
73,1964,687,,,0,"M"
73,1965,687,,,0,"M"
73,1966,687,,,0,"M"
73,1967,687,,,0,"M"
73,1968,687,,,0,"M"
73,1969,687,,,0,"M"
73,1970,687,,,0,"M"
73,1971,687,,,0,"M"
73,1972,687,,,0,"M"
73,1973,687,,,0,"M"
73,1974,687,,,0,"M"
73,1975,687,,,0,"M"
73,1976,687,,,0,"M"
73,1977,687,,,0,"M"
73,1978,687,,,0,"M"
73,1979,687,,,0,"M"
73,1980,687,,,0,"M"
73,1981,687,,,0,"M"
73,1982,687,,,0,"M"
73,1983,687,,,0,"M"
73,1984,687,,,0,"M"
73,1985,687,,,0,"M"
73,1986,687,,,0,"M"
73,1987,687,,,0,"M"
73,1988,687,,,0,"M"
73,1989,687,,,0,"M"
73,1990,687,,,0,"M"
73,1991,687,,,0,"M"
73,1992,687,,,100,"F"
73,1993,687,,,120,"F"
73,1994,687,,,80,"F"
73,1995,687,,,60,"F"
73,1996,687,,,80,"E"
73,1997,687,,,69,"E"
73,1998,687,,,55,"F"
73,1999,687,,,45,"E"
73,2000,687,,,50,"F"
73,2001,687,,,55,"F"
73,2002,687,,,50,"F"
73,2003,687,,,34,"E"
73,2004,687,,,45,"E"
73,2005,687,,,50,"*"
73,2006,687,,,50,"*"
73,2007,687,,,50,"*"
73,2008,687,,,50,"*"
73,2009,687,,,50,"*"
73,2010,687,,,67,"E"
73,2011,687,,,68,"E"
81,1961,687,0,"M",0,"M"
81,1962,687,0,"M",0,"M"
81,1963,687,0,"M",0,"M"
81,1964,687,0,"M",0,"M"
81,1965,687,0,"M",0,"M"
81,1966,687,0,"M",0,"M"
81,1967,687,0,"M",0,"M"
81,1968,687,0,"M",0,"M"
81,1969,687,0,"M",0,"M"
81,1970,687,0,"M",0,"M"
81,1971,687,0,"M",0,"M"
81,1972,687,0,"M",0,"M"
81,1973,687,0,"M",0,"M"
81,1974,687,0,"M",0,"M"
81,1975,687,0,"M",0,"M"
81,1976,687,0,"M",0,"M"
81,1977,687,0,"M",0,"M"
81,1978,687,0,"M",0,"M"
81,1979,687,0,"M",0,"M"
81,1980,687,0,"M",0,"M"
81,1981,687,0,"M",0,"M"
81,1982,687,0,"M",0,"M"
81,1983,687,0,"M",0,"M"
81,1984,687,0,"M",0,"M"
81,1985,687,0,"M",0,"M"
81,1986,687,0,"M",0,"M"
81,1987,687,0,"M",0,"M"
81,1988,687,0,"M",0,"M"
81,1989,687,0,"M",0,"M"
81,1990,687,0,"M",0,"M"
81,1991,687,0,"M",0,"M"
81,1992,687,0,"M",0,"M"
81,1993,687,0,"M",0,"M"
81,1994,687,0,"M",0,"M"
81,1995,687,0,"M",0,"M"
81,1996,687,2500,"F",1500,"F"
81,1997,687,2563,"E",1482,"E"
81,1998,687,3300,"F",2000,"F"
81,1999,687,3066,"E",2088,"E"
81,2000,687,4000,"F",2500,"F"
81,2001,687,4058,"E",2650,"E"
81,2002,687,4050,"F",2700,"F"
81,2003,687,4200,"F",2900,"F"
81,2004,687,4400,"F",2700,"F"
81,2005,687,4500,"F",2900,"F"
81,2006,687,4800,"F",3000,"F"
81,2007,687,4900,"F",3100,"F"
81,2008,687,5981,"E",3584,"E"
81,2009,687,5379,"E",3215,"E"
81,2010,687,5324,"E",3102,"E"
81,2011,687,4908,"E",3082,"E"
89,1961,687,0,"M",100,"F"
89,1962,687,0,"M",100,"F"
89,1963,687,0,"M",150,"F"
89,1964,687,0,"M",150,"F"
89,1965,687,0,"M",200,"F"
89,1966,687,0,"M",250,"F"
89,1967,687,0,"M",270,"F"
89,1968,687,0,"M",270,"F"
89,1969,687,0,"M",300,"F"
89,1970,687,0,"M",300,"F"
89,1971,687,0,"M",300,"F"
89,1972,687,0,"M",300,"F"
89,1973,687,0,"M",300,"F"
89,1974,687,0,"M",350,"F"
89,1975,687,0,"M",350,"F"
89,1976,687,0,"M",400,"F"
89,1977,687,0,"M",400,"F"
89,1978,687,0,"M",350,"F"
89,1979,687,0,"M",350,"F"
89,1980,687,0,"M",300,"F"
89,1981,687,0,"M",300,"F"
89,1982,687,0,"M",200,"F"
89,1983,687,0,"M",150,"F"
89,1984,687,0,"M",150,"F"
89,1985,687,650,"F",300,"F"
89,1986,687,650,"F",700,"F"
89,1987,687,650,"F",300,"F"
89,1988,687,650,"F",300,"F"
89,1989,687,650,"F",180," "
89,1990,687,778,"E",350,"F"
89,1991,687,842,"E",360,"F"
89,1992,687,671,"E",370,"F"
89,1993,687,550,"E",380,"F"
89,1994,687,495,"E",440,"E"
89,1995,687,454,"E",390,"F"
89,1996,687,483,"E",400,"F"
89,1997,687,660,"F",410,"F"
89,1998,687,674,"E",447,"E"
89,1999,687,650,"F",400,"F"
89,2000,687,664,"E",425,"E"
89,2001,687,630,"F",390,"F"
89,2002,687,695,"E",438,"E"
89,2003,687,764,"E",520,"E"
89,2004,687,798,"E",513,"E"
89,2005,687,895,"E",564,"E"
89,2006,687,650,"F",400,"F"
89,2007,687,644,"E",396,"E"
89,2008,687,587,"E",356,"E"
89,2009,687,556,"E",338,"E"
89,2010,687,575,"F",350,"F"
89,2011,687,1200,"F",750,"F"
91,1961,687,0,"M",0,"M"
91,1962,687,0,"M",0,"M"
91,1963,687,0,"M",0,"M"
91,1964,687,0,"M",0,"M"
91,1965,687,0,"M",0,"M"
91,1966,687,0,"M",0,"M"
91,1967,687,0,"M",0,"M"
91,1968,687,0,"M",0,"M"
91,1969,687,0,"M",0,"M"
91,1970,687,0,"M",0,"M"
91,1971,687,0,"M",0,"M"
91,1972,687,0,"M",0,"M"
91,1973,687,0,"M",0,"M"
91,1974,687,0,"M",0,"M"
91,1975,687,0,"M",0,"M"
91,1976,687,0,"M",0,"M"
91,1977,687,0,"M",0,"M"
91,1978,687,0,"M",0,"M"
91,1979,687,0,"M",0,"M"
91,1980,687,0,"M",0,"M"
91,1981,687,0,"M",0,"M"
91,1982,687,0,"M",0,"M"
91,1983,687,0,"M",0,"M"
91,1984,687,0,"M",0,"M"
91,1985,687,0,"M",0,"M"
91,1986,687,0,"M",0,"M"
91,1987,687,0,"M",0,"M"
91,1988,687,0,"M",0,"M"
91,1989,687,0,"M",0,"M"
91,1990,687,0,"M",0,"M"
91,1991,687,0,"M",0,"M"
91,1992,687,0,"M",0,"M"
91,1993,687,0,"M",0,"M"
91,1994,687,0,"M",0,"M"
91,1995,687,0,"M",0,"M"
91,1996,687,0,"M",0,"M"
91,1997,687,340,"F",170,"F"
91,1998,687,383,"E",185,"E"
91,1999,687,434,"E",249,"E"
91,2000,687,400,"F",200,"F"
91,2001,687,600,"F",300,"F"
91,2002,687,700,"F",350,"F"
91,2003,687,720,"F",360,"F"
91,2004,687,752,"E",355,"E"
91,2005,687,844,"E",390,"E"
91,2006,687,878,"E",406,"E"
91,2007,687,880,"F",420,"F"
91,2008,687,900,"F",450,"F"
91,2009,687,910,"F",424,"E"
91,2010,687,700,"F",300,"F"
91,2011,687,642,"E",260,"E"
95,1961,687,100,"F",50,"F"
95,1962,687,100,"F",50,"F"
95,1963,687,100,"F",50,"F"
95,1964,687,100,"F",50,"F"
95,1965,687,200,"F",100,"F"
95,1966,687,200,"F",100,"F"
95,1967,687,200,"F",100,"F"
95,1968,687,200,"F",100,"F"
95,1969,687,200,"F",100,"F"
95,1970,687,300,"F",150,"F"
95,1971,687,200,"F",100,"F"
95,1972,687,200,"F",100,"F"
95,1973,687,200,"F",100,"F"
95,1974,687,200,"F",100,"F"
95,1975,687,400,"F",200,"F"
95,1976,687,200,"F",100,"F"
95,1977,687,400,"F",200,"F"
95,1978,687,300,"F",150,"F"
95,1979,687,300,"F",150,"F"
95,1980,687,400,"F",200,"F"
95,1981,687,600,"F",300,"F"
