"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,205,7283," ",2360," "
3,1962,205,6740," ",2486," "
3,1963,205,7238," ",2896," "
3,1964,205,6955," ",2619," "
3,1965,205,7000,"F",2000,"F"
3,1966,205,7200,"F",2900,"F"
3,1967,205,7100,"F",2900,"F"
3,1968,205,6900,"F",2700,"F"
3,1969,205,6900,"F",2700,"F"
3,1970,205,6900,"F",2700,"F"
3,1971,205,6600,"F",2700,"F"
3,1972,205,6600,"F",2500,"F"
3,1973,205,6500,"F",2300,"F"
3,1974,205,6500,"F",2600,"F"
3,1975,205,6800,"F",2400,"F"
3,1976,205,7000,"F",2800,"F"
3,1977,205,7300,"F",3700,"F"
3,1978,205,7500,"F",3500,"F"
3,1979,205,7400,"F",3500,"F"
3,1980,205,7400,"F",3500,"F"
3,1981,205,6000,"F",3600,"F"
3,1982,205,6000,"F",3600,"F"
3,1983,205,5800,"F",3500,"F"
3,1984,205,5700,"F",3400,"F"
3,1985,205,5700,"F",3400,"F"
3,1986,205,5700,"F",3600,"F"
3,1987,205,6000,"F",3300,"F"
3,1988,205,6200,"F",3300,"F"
3,1989,205,6200,"F",3800,"F"
3,1990,205,5800,"F",2600,"F"
3,1991,205,5200,"F",2200,"F"
3,1992,205,5600,"F",2500,"F"
3,1993,205,5400,"F",1800,"F"
3,1994,205,5500,"F",1348,"E"
3,1995,205,6304,"E",1500,"F"
3,1996,205,6634,"E",1868,"E"
3,1997,205,6069,"E",1520,"E"
3,1998,205,5800,"F",1600,"F"
3,1999,205,6000,"F",1620,"F"
3,2000,205,6200,"F",1700,"F"
3,2001,205,6000,"F",1620,"F"
3,2002,205,5643,"E",1796,"E"
3,2003,205,5839,"E",1600,"F"
3,2004,205,5367,"E",2013,"E"
3,2005,205,5205,"E",2121,"E"
3,2006,205,5800,"F",1800,"F"
3,2007,205,6000,"F",1600,"F"
3,2008,205,5877,"E",1677,"E"
3,2009,205,5754,"E",1769,"E"
3,2010,205,5600,"F",1800,"F"
3,2011,205,6000,"F",1950,"F"
4,1961,205,1000," ",500," "
4,1962,205,1000," ",500," "
4,1963,205,1000," ",500," "
4,1964,205,1180," ",619," "
4,1965,205,1000,"F",600," "
4,1966,205,180," ",145," "
4,1967,205,990," ",803," "
4,1968,205,870," ",679," "
4,1969,205,1940," ",1105," "
4,1970,205,2740," ",1169," "
4,1971,205,2200," ",929," "
4,1972,205,2490," ",972," "
4,1973,205,2750," ",833," "
4,1974,205,2210," ",899," "
4,1975,205,2140," ",1039," "
4,1976,205,1980," ",1196," "
4,1977,205,2180," ",1119," "
4,1978,205,2410," ",1005," "
4,1979,205,3750," ",852," "
4,1980,205,4310," ",1086," "
4,1981,205,3000," ",899," "
4,1982,205,2800," ",760," "
4,1983,205,4390," ",1487," "
4,1984,205,4450," ",615," "
4,1985,205,2010," ",517," "
4,1986,205,940," ",247," "
4,1987,205,670," ",232," "
4,1988,205,3420," ",396," "
4,1989,205,510," ",207," "
4,1990,205,450," ",197," "
4,1991,205,190," ",106," "
4,1992,205,250," ",167," "
4,1993,205,290," ",109," "
4,1994,205,510," ",137," "
4,1995,205,360," ",86," "
4,1996,205,690," ",501," "
4,1997,205,340," ",36," "
4,1998,205,540," ",327," "
4,1999,205,620," ",379," "
4,2000,205,270," ",102," "
4,2001,205,60," ",28," "
4,2002,205,40," ",27," "
4,2003,205,30," ",18," "
4,2004,205,25," ",15," "
4,2005,205,215," ",65," "
4,2006,205,206," ",111," "
4,2007,205,140,"F",80,"F"
4,2008,205,135,"E",64,"E"
4,2009,205,149,"E",72,"E"
4,2010,205,135,"E",66,"E"
4,2011,205,148,"F",73,"E"
10,1961,205,405," ",272," "
10,1962,205,405," ",272," "
10,1963,205,405," ",299," "
10,1964,205,405," ",54," "
10,1965,205,405," ",109," "
10,1966,205,405," ",136," "
10,1967,205,405," ",218," "
10,1968,205,405," ",191," "
10,1969,205,809," ",82," "
10,1970,205,800,"F",200,"F"
10,1971,205,809," ",291," "
10,1972,205,600,"F",650,"F"
10,1973,205,800,"F",1800,"F"
10,1974,205,950,"F",2733," "
10,1975,205,805," ",2348," "
10,1976,205,630," ",1479," "
10,1977,205,608," ",1614," "
10,1978,205,397," ",1011," "
10,1979,205,475," ",948," "
10,1980,205,492," ",854," "
10,1981,205,567," ",1141," "
10,1982,205,1666," ",1543," "
10,1983,205,417," ",1030," "
10,1984,205,600," ",1923," "
10,1985,205,674," ",2078," "
10,1986,205,4249," ",6200," "
10,1987,205,3013," ",1404," "
10,1988,205,5147," ",1883," "
10,1989,205,9482," ",7258," "
10,1990,205,10368," ",6016," "
10,1991,205,36190," ",31262," "
10,1992,205,76941," ",53646," "
10,1993,205,36000," ",40000," "
10,1994,205,23000," ",12000," "
10,1995,205,34000," ",40000," "
10,1996,205,40000," ",42000," "
10,1997,205,40000," ",33000," "
10,1998,205,41000," ",34000," "
10,1999,205,62000," ",53000," "
10,2000,205,39000," ",24000," "
10,2001,205,60000,"F",42000,"F"
10,2002,205,40000,"F",30000,"F"
10,2003,205,64762," ",51464," "
10,2004,205,23267," ",20073," "
10,2005,205,31984," ",6374," "
10,2006,205,20000,"F",4000,"F"
10,2007,205,25000,"F",5000,"F"
10,2008,205,22571,"E",5523,"E"
10,2009,205,23399," ",3895," "
10,2010,205,32000,"F",10000,"F"
10,2011,205,45233," ",16833," "
11,1961,205,700," ",1056," "
11,1962,205,718," ",1077," "
11,1963,205,919," ",1488," "
11,1964,205,741," ",1283," "
11,1965,205,749," ",1207," "
11,1966,205,903," ",1744," "
11,1967,205,869," ",1685," "
11,1968,205,715," ",1440," "
11,1969,205,380," ",750," "
11,1970,205,405," ",811," "
11,1971,205,385," ",748," "
11,1972,205,325," ",704," "
11,1973,205,435," ",856," "
11,1974,205,375," ",744," "
11,1975,205,0,"F",0,"F"
11,1976,205,0," ",0," "
11,1977,205,0," ",0," "
11,1978,205,0," ",0," "
11,1979,205,0," ",0," "
11,1980,205,0," ",0," "
11,1981,205,0," ",0," "
11,1982,205,0," ",0," "
11,1983,205,0," ",0," "
11,1984,205,0," ",0," "
11,1985,205,0," ",0," "
11,1986,205,0," ",0," "
11,1987,205,0," ",0," "
11,1988,205,0," ",0," "
11,1989,205,0," ",0," "
11,1990,205,0," ",0," "
11,1991,205,0," ",0," "
11,1992,205,0," ",0," "
11,1993,205,0,"M",0,"M"
11,1994,205,0,"M",0,"M"
11,1995,205,0,"M",0,"M"
11,1996,205,0,"M",0,"M"
11,1997,205,0,"M",0,"M"
11,1998,205,0,"M",0,"M"
11,1999,205,0,"M",0,"M"
11,2000,205,0,"M",0,"M"
11,2001,205,0,"M",0,"M"
11,2002,205,0,"M",0,"M"
11,2003,205,591," ",1181," "
11,2004,205,768," ",1535," "
11,2005,205,1071," ",2142," "
11,2006,205,958," ",1917," "
11,2007,205,1105," ",2210," "
11,2008,205,1099," ",2198," "
11,2009,205,1593," ",3185," "
11,2010,205,2107," ",4214," "
11,2011,205,1451," ",2903," "
27,1961,205,57170," ",25256," "
27,1962,205,38316," ",14227," "
27,1963,205,28088," ",19395," "
27,1964,205,29489," ",19837," "
27,1965,205,26701," ",12816," "
27,1966,205,22711," ",19183," "
27,1967,205,20638," ",13001," "
27,1968,205,11895," ",4612," "
27,1969,205,8998," ",6836," "
27,1970,205,8723," ",6114," "
27,1971,205,5919," ",3217," "
27,1972,205,3781," ",2093," "
27,1973,205,2437," ",1889," "
27,1974,205,1939," ",1418," "
27,1975,205,1429," ",824," "
27,1976,205,1200," ",1021," "
27,1977,205,823," ",763," "
27,1978,205,944," ",895," "
27,1979,205,1587," ",588," "
27,1980,205,743," ",571," "
27,1981,205,969," ",769," "
27,1982,205,1238," ",988," "
27,1983,205,1142," ",458," "
27,1984,205,937," ",818," "
27,1985,205,1327," ",875," "
27,1986,205,1450," ",513," "
27,1987,205,1024," ",955," "
27,1988,205,1634," ",1434," "
27,1989,205,2370," ",1766," "
27,1990,205,2215," ",1903," "
27,1991,205,1526," ",932," "
27,1992,205,0,"*",0,"*"
27,1993,205,0,"M",0,"M"
27,1994,205,0,"M",0,"M"
27,1995,205,0,"M",0,"M"
27,1996,205,0,"M",0,"M"
27,1997,205,0,"M",0,"M"
27,1998,205,0,"M",0,"M"
27,1999,205,0,"M",0,"M"
27,2000,205,0,"M",0,"M"
27,2001,205,1500,"*",1500,"F"
27,2002,205,1300,"*",1700,"F"
27,2003,205,900,"*",1250,"F"
27,2004,205,713," ",1056," "
27,2005,205,775," ",910," "
27,2006,205,307," ",516," "
27,2007,205,416," ",477," "
27,2008,205,244," ",395," "
27,2009,205,311," ",357," "
27,2010,205,300," ",300," "
27,2011,205,226," ",375," "
50,1961,205,10167," ",6989," "
50,1962,205,12040," ",8356," "
50,1963,205,11639," ",7773," "
50,1964,205,10702," ",4997," "
50,1965,205,6288," ",6503," "
50,1966,205,11371," ",9551," "
50,1967,205,7358," ",7823," "
50,1968,205,6689," ",6096," "
50,1969,205,7358," ",7620," "
50,1970,205,11238," ",6604," "
50,1971,205,12040," ",9144," "
50,1972,205,10034," ",6096," "
50,1973,205,14047," ",711," "
50,1974,205,12040," ",7620," "
50,1975,205,4147," ",2845," "
50,1976,205,4247," ",3201," "
50,1977,205,4916," ",3607," "
50,1978,205,3077," ",3150," "
50,1979,205,2275," ",2184," "
50,1980,205,2221," ",2042," "
50,1981,205,1953," ",1829," "
50,1982,205,2060," ",1808," "
50,1983,205,2227," ",1660," "
50,1984,205,2475," ",1960," "
50,1985,205,1645," ",1700," "
50,1986,205,709," ",625," "
50,1987,205,903," ",820," "
50,1988,205,744," ",715," "
50,1989,205,468," ",310," "
50,1990,205,438," ",310," "
50,1991,205,282," ",104," "
50,1992,205,360," ",305," "
50,1993,205,428," ",354," "
50,1994,205,222," ",303," "
50,1995,205,242," ",333," "
50,1996,205,76," ",61," "
50,1997,205,76," ",71," "
50,1998,205,72," ",66," "
50,1999,205,72," ",61," "
50,2000,205,72," ",66," "
50,2001,205,71," ",66," "
50,2002,205,72," ",46," "
50,2003,205,73," ",61," "
50,2004,205,82," ",49," "
50,2005,205,85," ",66," "
50,2006,205,92," ",66," "
50,2007,205,94," ",71," "
50,2008,205,135," ",88," "
50,2009,205,149,"E",90,"F"
50,2010,205,99,"E",83,"E"
50,2011,205,105,"E",74,"E"
51,1961,205,19520," ",25199," "
51,1962,205,21186," ",19917," "
51,1963,205,22679," ",21690," "
51,1964,205,21583," ",18674," "
51,1965,205,19280," ",18520," "
51,1966,205,17094," ",15622," "
51,1967,205,11514," ",15769," "
51,1968,205,9670," ",12916," "
51,1969,205,7838," ",12289," "
51,1970,205,6770," ",9346," "
51,1971,205,5118," ",7416," "
51,1972,205,3693," ",4145," "
51,1973,205,2780," ",3641," "
51,1974,205,3103," ",3119," "
51,1975,205,2558," ",2510," "
51,1976,205,1849," ",1409," "
51,1977,205,2026," ",1780," "
51,1978,205,2033," ",1608," "
51,1979,205,2089," ",1686," "
51,1980,205,1736," ",1286," "
51,1981,205,1528," ",1337," "
51,1982,205,1419," ",1138," "
51,1983,205,1701," ",1136," "
51,1984,205,1725," ",1486," "
51,1985,205,1636," ",1505," "
51,1986,205,1893," ",1135," "
51,1987,205,1838," ",1325," "
51,1988,205,1705," ",1192," "
51,1989,205,1948," ",1291," "
51,1990,205,2252," ",1539," "
51,1991,205,2822," ",1962," "
51,1992,205,2280,"*",1510,"F"
51,1993,205,0,"F",0,"F"
51,1994,205,0,"T",0,"T"
51,1995,205,0,"T",0,"T"
51,1996,205,0,"T",0,"T"
51,1997,205,0,"T",0,"T"
51,1998,205,0,"T",0,"T"
51,1999,205,0,"T",0,"T"
51,2000,205,0,"T",0,"T"
51,2001,205,0,"T",0,"T"
51,2002,205,0,"T",0,"T"
51,2003,205,0,"T",0,"T"
51,2004,205,0,"T",0,"T"
51,2005,205,0,"T",0,"T"
51,2006,205,0,"T",0,"T"
51,2007,205,0,"T",0,"T"
51,2008,205,0,"T",0,"T"
51,2009,205,0,"T",0,"T"
51,2010,205,0,"T",0,"T"
51,2011,205,0,"T",0,"T"
57,1961,205,0,"M",0,"M"
57,1962,205,0,"M",0,"M"
